Славянск	Slavyansk-na-Kubani
Сентачан	Sentachan
Чайковский	Chaykovsky,_Perm_Krai
Среднеахтубинский район	Sredneakhtubinsky_District
Нелемное	Nelemnoye
Заречный	Zarechny,_Sverdlovsk_Oblast
Чукар	Chukar_(rural_locality)
Сердобск	Serdobsk
Тамбов	Tambov
Кадыкчан	Kadykchan
Рамешки	Rameshki,_Rameshkovsky_District,_Tver_Oblast
Хонгор-Бие	Khongor-Biye
Лесной район	Lesnoy_District
Калевала	Kalevala,_Russia
Горячий Ключ	Goryachy_Klyuch,_Krasnodar_Krai
Ардон	Ardon,_Republic_of_North_Ossetia-Alania
Чюйя	Chyuyya
Жуковский	Zhukovsky,_Moscow_Oblast
Южно-Курильск	Yuzhno-Kurilsk
Черемхово	Cheremkhovo,_Irkutsk_Oblast
Шаля	Shalya_(urban-type_settlement)
Приволжск	Privolzhsk
Гдов	Gdov
Дальние Зеленцы	Dalniye_Zelentsy
Лух	Lukh,_Russia
Усть-Канский район	Ust-Kansky_District
Рязанский район	Ryazansky_District,_Ryazan_Oblast
Бавтугай	Bavtugay
Курский район	Kursky_District,_Kursk_Oblast
Шудаяг	Shudayag
Белохолуницкий район	Belokholunitsky_District
Табага	Tabaga,_Megino-Kangalassky_District,_Sakha_Republic
Илбенге	Ilbenge
Малошуйка	Maloshuyka
Териберка	Teriberka
Республика Алтай	Altai_Republic
Самара	Samara,_Russia
Килемары	Kilemary
Большечерниговский район	Bolshechernigovsky_District
Куйтунский район	Kuytunsky_District
Сасыр	Sasyr
Ленинский	Leninsky,_Sakha_Republic
Рославльский район	Roslavlsky_District
Тейково	Teykovo
Опочка	Opochka
Усть-Куйга	Ust-Kuyga
Тула	Tula,_Russia
Тамалакан	Tamalakan
Гагаринский район	Gagarinsky_District,_Smolensk_Oblast
Оханск	Okhansk
Чекя-Бясь	Chekya-Byas
Эселях	Eselyakh
Жиганск	Zhigansk
Суздаль	Suzdal
Урицкий район	Uritsky_District
Шатковский район	Shatkovsky_District
Красный Бор	Krasny_Bor,_Tosnensky_District,_Leningrad_Oblast
Чинар	Chinar,_Russia
Коашва	Koashva
Барышский район	Baryshsky_District
Стойка	Stoyka
Соль-Илецк	Sol-Iletsk
Оленинский район	Oleninsky_District
Торопецкий район	Toropetsky_District
Тасагар	Tasagar
Иркутск	Irkutsk
Нижнеломовский район	Nizhnelomovsky_District
Старополтавский район	Staropoltavsky_District
Щучье	Shchuchye,_Shchuchansky_District,_Kurgan_Oblast
Сайда-Губа	Sayda-Guba
Кептин	Keptin
Нерюктяйинск 1-й	Neryuktyayinsk_1-y
Крестовая	Krestovaya,_Sakha_Republic
Чинеке	Chineke
Порхов	Porkhov
Унечский район	Unechsky_District
Богучарский район	Bogucharsky_District
Каратузский район	Karatuzsky_District
Слободской	Slobodskoy,_Kirov_Oblast
Щёкинский район	Shchyokinsky_District
Пошехонский район	Poshekhonsky_District
Монастырщинский район	Monastyrshchinsky_District
Котельниково	Kotelnikovo,_Volgograd_Oblast
Усть-Юдома	Ust-Yudoma
Хлевенский район	Khlevensky_District
Ершичский район	Yershichsky_District
Куропта	Kuropta
Яхрома	Yakhroma
Поназыревский район	Ponazyrevsky_District
Киров	Kirov,_Sakha_Republic
Калининград	Kaliningrad
Забайкальский край	Zabaykalsky_Krai
Истра	Istra,_Istrinsky_District,_Moscow_Oblast
Назаровский район	Nazarovsky_District
Родники	Rodniki,_Ivanovo_Oblast
Удомельский район	Udomelsky_District
Новодвинск	Novodvinsk
Кунья	Kunya,_Pskov_Oblast
Зеленоборский	Zelenoborsky
Красногородский район	Krasnogorodsky_District
Нижнеянск	Nizhneyansk
Чирьяково	Chiryakovo
Домбаровский район	Dombarovsky_District
Красная Поляна	Krasnaya_Polyana,_Sochi,_Krasnodar_Krai
Ковдорский район	Kovdorsky_District
Сорск	Sorsk
Пестово	Pestovo,_Pestovsky_District,_Novgorod_Oblast
Кожым	Kozhym
Сальск	Salsk
Чердаклинский район	Cherdaklinsky_District
Красноярский край	Krasnoyarsk_Krai
Красноярская область	Krasnoyarsk_Krai
Вилегодский район	Vilegodsky_District
Усть-Чижапка	Ust-Chizhapka
Чыаппара	Chyappara
Ташлинский район	Tashlinsky_District
Грайворон	Grayvoron
Лебединый	Lebediny,_Sakha_Republic
Мошковский район	Moshkovsky_District
Райчихинск	Raychikhinsk
Чаплыгинский район	Chaplyginsky_District
Ленский улус	Lensky_District,_Sakha_Republic
Ванино	Vanino,_Khabarovsk_Krai
Малмыж	Malmyzh,_Kirov_Oblast
Щигровский район	Shchigrovsky_District
Походск	Pokhodsk
Афанасьевский район	Afanasyevsky_District
Емца	Yemtsa
Краснотуранский район	Krasnoturansky_District
Валуйки	Valuyki,_Belgorod_Oblast
Юттях	Yuttyakh
Орск	Orsk
Пензенский район	Penzensky_District
Туран	Turan,_Tuva_Republic
Вязниковский район	Vyaznikovsky_District
Верховский район	Verkhovsky_District
Махнёво	Makhnyovo
Ермишинский район	Yermishinsky_District
Гаврилов-Ямский район	Gavrilov-Yamsky_District
Сото	Soto,_Russia
Александровский район	Alexandrovsky_District,_Tomsk_Oblast
Охотский-Перевоз	Okhotsky-Perevoz
Венёв	Venyov
Липин Бор	Lipin_Bor
Чертковский район	Chertkovsky_District
Вольск	Volsk
Рязань	Ryazan
Дикимдя	Dikimdya,_Olyokminsky_District,_Sakha_Republic
Еврейская автономная область	Jewish_Autonomous_Oblast
Республика Саха	Sakha_Republic
Зейский район	Zeysky_District
Себежский район	Sebezhsky_District
Ачинский район	Achinsky_District
Гурьевск	Guryevsk,_Kemerovo_Oblast
Сосногорск	Sosnogorsk
Кикнурский район	Kiknursky_District
Межгорье	Mezhgorye,_Republic_of_Bashkortostan
Палласовка	Pallasovka_(town)
Троицко-Печорск	Troitsko-Pechorsk
Пугачёвский район	Pugachyovsky_District
Чокурдах	Chokurdakh
Агрыз	Agryz
Индель	Indel_(rural_locality)
Амурская область	Amur_Oblast
Катынь	Katyn_(rural_locality)
Улан-Удэ	Ulan-Ude
Талицкий район	Talitsky_District
Нальчик	Nalchik
Юрюзань	Yuryuzan,_Chelyabinsk_Oblast
Белореченск	Belorechensk,_Krasnodar_Krai
Кулой	Kuloy
Орлов	Orlov,_Kirov_Oblast
Междуреченск	Mezhdurechensk,_Komi_Republic
Морки	Morki
Лапландия	Laplandiya
Заволжье	Zavolzhye,_Nizhny_Novgorod_Oblast
Невьянский район	Nevyansky_District
Дальнереченск	Dalnerechensk
Ровеньский район	Rovensky_District,_Belgorod_Oblast
Саянский район	Sayansky_District
Шушенский район	Shushensky_District
Марьяновский район	Maryanovsky_District
Мясниковский район	Myasnikovsky_District
Нижний Бестях	Nizhny_Bestyakh
Пильнинский район	Pilninsky_District
Красный Сулин	Krasny_Sulin
Абатский район	Abatsky_District
Агдары	Agdary
Комаровский	Komarovsky,_Orenburg_Oblast
Кяхулай	Kyakhulay
Пыталово	Pytalovo
Черкёх	Cherkyokh
Жирновский район	Zhirnovsky_District
Верхняя Инта	Verkhnyaya_Inta
Западный Кильдин	Zapadny_Kildin
Ольхонский район	Olkhonsky_District
Перевозский район	Perevozsky_District
Тёплая Гора	Tyoplaya_Gora
Рыбинский район	Rybinsky_District,_Yaroslavl_Oblast
Михайловка	Mikhaylovka,_Volgograd_Oblast
Сыктывкар	Syktyvkar
Чулым	Chulym,_Chulymsky_District,_Novosibirsk_Oblast
Хордогой	Khordogoy
Добрянка	Dobryanka,_Perm_Krai
Слободо-Туринский район	Slobodo-Turinsky_District
Зимовниковский район	Zimovnikovsky_District
Леуши	Leushi
Карпинск	Karpinsk
Спировский район	Spirovsky_District
Африканда	Afrikanda_(rural_locality)
Проливы	Prolivy
Пензенская область	Penza_Oblast
Дебин	Debin
Тит-Эбя	Tit-Ebya
Козлово	Kozlovo,_Konakovsky_District,_Tver_Oblast
Грачёвский район	Grachyovsky_District,_Orenburg_Oblast
Нелидово	Nelidovo,_Nelidovsky_District,_Tver_Oblast
Путятинский район	Putyatinsky_District
Стародуб	Starodub
Шарыповский район	Sharypovsky_District
Тюбе	Tyube
Никольское	Nikolskoye,_Tosnensky_District,_Leningrad_Oblast
Хостинский внутригородской район	Khostinsky_City_District
Кулебакский район	Kulebaksky_District
Сольцы	Soltsy
Устюжна	Ustyuzhna
Кожевниковский район	Kozhevnikovsky_District
Ильинский район	Ilyinsky_District,_Ivanovo_Oblast
Фрязино	Fryazino
Невельский район	Nevelsky_District,_Pskov_Oblast
Бодайбо	Bodaybo
Оленегорск	Olenegorsk,_Sakha_Republic
Краснозёрский район	Krasnozyorsky_District
Петровск-Забайкальский	Petrovsk-Zabaykalsky_(town)
Чадан	Chadan_(town)
Кормиловский район	Kormilovsky_District
Мытищинский район	Mytishchinsky_District
Поддорье	Poddorye
Орехово-Зуево	Orekhovo-Zuyevo
Золотухинский район	Zolotukhinsky_District
Крутинский район	Krutinsky_District
Чистополь	Chistopol
Волгодонской район	Volgodonskoy_District
Артык	Artyk
Оричевский район	Orichevsky_District
Азовский немецкий национальный район	Azovsky_Nemetsky_National_District
Чекуровка	Chekurovka_(rural_locality)
Усолье-Сибирское	Usolye-Sibirskoye
Кирсановский район	Kirsanovsky_District
Тында	Tynda
Старожиловский район	Starozhilovsky_District
Печенга	Pechenga_(urban-type_settlement),_Murmansk_Oblast
Аларский район	Alarsky_District
Выходной	Vykhodnoy
Коноша	Konosha
Ухта	Ukhta
Агаякан	Agayakan
Дубовка	Dubovka,_Dubovsky_District,_Volgograd_Oblast
Барылас	Barylas
Сага	Saga,_Russia
Приморский район	Primorsky_District,_Saint_Petersburg
Быковский	Bykovsky,_Sakha_Republic
Одоевский район	Odoyevsky_District
Тойон-Ары	Toyon-Ary
Майминский район	Mayminsky_District
Солянка	Solyanka,_Sakha_Republic
Ожерелье	Ozherelye
Покачи	Pokachi
Наушки	Naushki
Нижняя Тура	Nizhnyaya_Tura
Харбала 2-я	Kharbala_2-ya
Пушкин	Pushkin,_Saint_Petersburg
Войвож	Voyvozh
Конышёвский район	Konyshyovsky_District
Лотошинский район	Lotoshinsky_District
Калач	Kalach,_Kalacheyevsky_District,_Voronezh_Oblast
Солнцевский район	Solntsevsky_District
Асино	Asino
Лыткарино	Lytkarino
Сосенский	Sosensky,_Kaluga_Oblast
Чертаново	Chertanovo
Локомотивный	Lokomotivny
Неман	Neman,_Russia
Зубова Поляна	Zubova_Polyana
Березник	Bereznik,_Vinogradovsky_District,_Arkhangelsk_Oblast
Самарова	Samarova
Невьянск	Nevyansk
Можайск	Mozhaysk
Арылах	Arylakh_(Zharkhan)
Старые Чечкабы	Starye_Chechkaby
Токума	Tokuma_(rural_locality)
Сладковский район	Sladkovsky_District
Приморско-Ахтарск	Primorsko-Akhtarsk
Усть-Янск	Ust-Yansk
Дигора	Digora
Калязинский район	Kalyazinsky_District
Кореновск	Korenovsk
Репьёвский район	Repyovsky_District
Братск	Bratsk
Юрюнг-Хая	Yuryung-Khaya
Дятьково	Dyatkovo
Ярега	Yarega
Умётский район	Umyotsky_District
Оннёс	Onnyos
Парма	Parma,_Usinsk,_Komi_Republic
Кутана	Kutana,_Suntarsky_District,_Sakha_Republic
Волгоградская область	Volgograd_Oblast
Волхов	Volkhov
Спас-Деменский район	Spas-Demensky_District
Старый Оскол	Stary_Oskol
Бетюнг	Betyung
Исилькульский район	Isilkulsky_District
Суворов	Suvorov,_Tula_Oblast
Серебряно-Прудский район	Serebryano-Prudsky_District
Кизляр	Kizlyar
Пристенский район	Pristensky_District
Сусанинский район	Susaninsky_District
Приволжский район	Privolzhsky_District,_Samara_Oblast
Сокол	Sokol,_Vologda_Oblast
Варнавинский район	Varnavinsky_District
Новосергиевский район	Novosergiyevsky_District
Солнечногорск	Solnechnogorsk
Донецк	Donetsk,_Russia
Кюкей	Kyukey
Суземский район	Suzemsky_District
Мензелинск	Menzelinsk
Шагонар	Shagonar
Сулак	Sulak,_Republic_of_Dagestan
Верхняя Тойма	Verkhnyaya_Toyma,_Arkhangelsk_Oblast
Юргинский район	Yurginsky_District,_Tyumen_Oblast
Кувшинская Салма	Kuvshinskaya_Salma
Саров	Sarov
Ишимбай	Ishimbay
Качканар	Kachkanar
Важины	Vazhiny
Тюменский район	Tyumensky_District
Тутаевский район	Tutayevsky_District
Терют	Teryut
Дебдирге	Debdirge
Бужаниново	Buzhaninovo
район Филёвский парк	Filyovsky_park_District
Аргахтах	Argakhtakh
Измалковский район	Izmalkovsky_District
Похвистневский район	Pokhvistnevsky_District
Тулуна	Tuluna
Краснобаковский район	Krasnobakovsky_District
Харовск	Kharovsk
Нивский	Nivsky
Нижнеколымский улус	Nizhnekolymsky_District
Кыллах	Kyllakh
Губкин	Gubkin
Задонск	Zadonsk
Донское	Donskoye,_Lipetsk_Oblast
Удомля	Udomlya
Берег-Юрдя	Bereg-Yurdya
Плесецк	Plesetsk
Кесова Гора	Kesova_Gora
Вольский район	Volsky_District
Онгудайский район	Ongudaysky_District
Воротынский район	Vorotynsky_District
25	25_km_Zheleznoy_Dorogi_Monchegorsk–Olenya
Оверята	Overyata
Выкса	Vyksa
Чемальский район	Chemalsky_District
Таврический район	Tavrichesky_District
Георгиевск	Georgiyevsk
Кингисеппский район	Kingiseppsky_District
Липпе-Атах	Lippe-Atakh
Сонково	Sonkovo
Аткарский район	Atkarsky_District
Чагода	Chagoda
Ильинско-Подомское	Ilyinsko-Podomskoye
Кесовогорский район	Kesovogorsky_District
Усть-Илимск	Ust-Ilimsk
Чукотский автономный округ	Chukotka_Autonomous_Okrug
Баймак	Baymak
Верхнесалдинский район	Verkhnesaldinsky_District
Нехаевский район	Nekhayevsky_District
Ремонтненский район	Remontnensky_District
Облученский район	Obluchensky_District
Лежневский район	Lezhnevsky_District
Тумат	Tumat
Баргузин	Barguzin_(rural_locality)
Сенгилеевский район	Sengileyevsky_District
Берёзовский район	Beryozovsky_District,_Krasnoyarsk_Krai
Надымский район	Nadymsky_District
Палана	Palana
Кюнде	Kyunde
Байкальск	Baykalsk
Гаврилов Посад	Gavrilov_Posad
Бабушкин	Babushkin_(town)
Аргун	Argun,_Chechen_Republic
Любим	Lyubim
Урицкое	Uritskoye,_Sakha_Republic
район Раменки	Ramenki_District
Болугур	Bolugur
Фроловский район	Frolovsky_District
Черлакский район	Cherlaksky_District
Онохой	Onokhoy
Казачье	Kazachye
Холго	Kholgo
Токсово	Toksovo
Морозовск	Morozovsk
Скопинский район	Skopinsky_District
Курманаевский район	Kurmanayevsky_District
Онега	Onega,_Russia
Зарайск	Zaraysk
Барнаул	Barnaul
Нелидовский район	Nelidovsky_District
Артинский район	Artinsky_District
Аксайский район	Aksaysky_District
Староюрьевский район	Staroyuryevsky_District
Нерюктяй	Neryuktyay
Куду-Кюёль	Kudu-Kyuyol
Уржум	Urzhum,_Urzhumsky_District,_Kirov_Oblast
район Дорогомилово	Dorogomilovo_District
Обоянский район	Oboyansky_District
Онежский район	Onezhsky_District
Черкесск	Cherkessk
Кунцево	Kuntsevo_District
Чувашская Республика — Чувашия	Chuvashia
Соликамск	Solikamsk
Ульяновская область	Ulyanovsk_Oblast
Энем	Enem_(urban-type_settlement)
Пенза	Penza
Новобурасский район	Novoburassky_District
Шемышейский район	Shemysheysky_District
Суховерково	Sukhoverkovo
Мегино-Кангаласский улус	Megino-Kangalassky_District
Лабытнанги	Labytnangi
Копейск	Kopeysk
Лихославльский район	Likhoslavlsky_District
Сыдыбыл	Sydybyl
Ковдозеро	Kovdozero,_Murmansk_Oblast
Олёкминск	Olyokminsk
Моздок	Mozdok,_Republic_of_North_Ossetia-Alania
Удмуртская Республика	Udmurtia
Звенигород	Zvenigorod
Таттинский улус	Tattinsky_District
Островский район	Ostrovsky_District,_Pskov_Oblast
Октёмцы	Oktyomtsy
Солнечногорский район	Solnechnogorsky_District
Судиславль	Sudislavl
Спасск-Дальний	Spassk-Dalny
Рахья	Rakhya
Нюрбинский улус	Nyurbinsky_District
Кизел	Kizel
Олёкминский улус	Olyokminsky_District
Петровка	Petrovka,_Sakha_Republic
Богородск	Bogorodsk,_Bogorodsky_District,_Nizhny_Novgorod_Oblast
Назрань	Nazran
Сымах	Symakh
Тыайа	Tyaya
Улу-Сысы	Ulu-Sysy
Боровой	Borovoy,_Komi_Republic
Фирово	Firovo
Колымское	Kolymskoye,_Sakha_Republic
Сорокинский район	Sorokinsky_District
Краснослободск	Krasnoslobodsk,_Volgograd_Oblast
Гордеевский район	Gordeyevsky_District
Елечей	Yelechey
Ушаковское	Ushakovskoye,_Chukotka_Autonomous_Okrug
Новоржев	Novorzhev
Каменка	Kamenka,_Mezensky_District,_Arkhangelsk_Oblast
Абанский район	Abansky_District
Ромненский район	Romnensky_District
Лаишево	Laishevo
Экимчан	Ekimchan
Угоян	Ugoyan
Пояконда	Poyakonda
Жигаловский район	Zhigalovsky_District
Куранда	Kuranda,_Russia
Якокут	Yakokut
Юнкюр	Yunkyur,_Verkhoyansky_District,_Sakha_Republic
Колосовский район	Kolosovsky_District
Земетчинский район	Zemetchinsky_District
Хотьково	Khotkovo,_Moscow_Oblast
Ессей	Yessey
Новогуровский	Novogurovsky
Черноголовка	Chernogolovka
Нижнекамск	Nizhnekamsk
Кобяйский улус	Kobyaysky_District
Кулусуннах	Kulusunnakh
Ардатовский район	Ardatovsky_District,_Nizhny_Novgorod_Oblast
Балабаново	Balabanovo,_Kaluga_Oblast
Мыски	Myski
Арсеньевский район	Arsenyevsky_District
Белозерский район	Belozersky_District,_Kurgan_Oblast
Полтавский район	Poltavsky_District
Юрдюк-Кумах	Yurdyuk-Kumakh
Рассказовский район	Rasskazovsky_District
Железнодорожный	Zheleznodorozhny,_Moscow_Oblast
Хатынг-Тумул	Khating-Tumul
Сычёвка	Sychyovka,_Sychyovsky_District,_Smolensk_Oblast
Сегежа	Segezha
Лысогорский район	Lysogorsky_District
Борисовский район	Borisovsky_District
Олом	Olom
Усвятский район	Usvyatsky_District
Жилинда	Zhilinda
Бежаницкий район	Bezhanitsky_District
Черемисиновский район	Cheremisinovsky_District
Талдомский район	Taldomsky_District
Эльгяй	Elgyay
Маралайы	Maralayy
Уватский район	Uvatsky_District
Спирово	Spirovo,_Spirovsky_District,_Tver_Oblast
Пригородный район	Prigorodny_District,_Sverdlovsk_Oblast
Мценский район	Mtsensky_District
Куркинский район	Kurkinsky_District
Оргёт	Orgyot
Тяня	Tyanya
Макарьев	Makaryev
Костомукша	Kostomuksha
Нефтебаза	Neftebaza,_Olyokminsky_District,_Sakha_Republic
Сергиево-Посадский район	Sergiyevo-Posadsky_District
Старица	Staritsa_(town),_Tver_Oblast
Прогресс	Progress,_Amur_Oblast
Сясьстрой	Syasstroy
Закаменск	Zakamensk
Благовещенский район	Blagoveshchensky_District,_Amur_Oblast
Коуровка	Kourovka,_Sverdlovsk_Oblast
Лиманский район	Limansky_District
Городищенский район	Gorodishchensky_District,_Volgograd_Oblast
Льялово	Lyalovo
Цимлянский район	Tsimlyansky_District
Черендей	Cherendey
Новокузнецк	Novokuznetsk
Киселёвск	Kiselyovsk
Сасовский район	Sasovsky_District
Белая Калитва	Belaya_Kalitva
Красногорский район	Krasnogorsky_District,_Moscow_Oblast
Высокий	Vysoky,_Murmansk_Oblast
Кораблинский район	Korablinsky_District
Пронский район	Pronsky_District
Александровск-Сахалинский	Alexandrovsk-Sakhalinsky_(town)
Чупа	Chupa,_Republic_of_Karelia
Нямозеро	Nyamozero
Сиктях	Siktyakh
Усть-Цильма	Ust-Tsilma
Ерт	Yert
Краснооктябрьский район	Krasnooktyabrsky_District,_Nizhny_Novgorod_Oblast
Синдор	Sindor
Чаплыгин	Chaplygin,_Lipetsk_Oblast
Миллеровский район	Millerovsky_District
Нижние Серги	Nizhniye_Sergi
Улахан-Кюёль	Ulakhan-Kyuyol,_Verkhoyansky_District,_Sakha_Republic
Карталинский район	Kartalinsky_District
Пялица	Pyalitsa
Петропавловск	Petropavlovsk,_Sakha_Republic
Омский район	Omsky_District
Чучковский район	Chuchkovsky_District
Оленёк	Olenyok_(rural_locality)
Ерцево	Yertsevo
Киреевск	Kireyevsk
Рузский район	Ruzsky_District
Тюкалинский район	Tyukalinsky_District
Алеко-Кюёль	Aleko-Kyuyol
Суордах	Suordakh
Сысы-Мейите	Sysy-Meyite
Булгунняхтах	Bulgunnyakhtakh
Тосненский район	Tosnensky_District
Метяки	Metyaki
Кисловодск	Kislovodsk
Мыс-Чёрный	Mys-Chyorny
Повенец	Povenets
Каменск-Уральский	Kamensk-Uralsky
Тосно	Tosno
Верхнеколымск	Verkhnekolymsk
Славгород	Slavgorod
Черногорск	Chernogorsk
Жигалово	Zhigalovo,_Irkutsk_Oblast
Кувандыкский район	Kuvandyksky_District
Вытегра	Vytegra
Куду-Бясь	Kudu-Byas
Тоншаевский район	Tonshayevsky_District
Новочебоксарск	Novocheboksarsk
Белогорск	Belogorsk,_Amur_Oblast
Инза	Inza,_Russia
Добринский район	Dobrinsky_District
Ковдор	Kovdor
Тосу	Tosu,_Russia
Десногорск	Desnogorsk
Нерюнгри	Neryungri
Тарасовский район	Tarasovsky_District
Тарагай-Бясь	Taragay-Byas
Лодейное Поле	Lodeynoye_Pole
Тарский район	Tarsky_District
Буйнакск	Buynaksk
Чиряпчи	Chiryapchi
Промкомбинат	Promkombinat
Асыма	Asyma
Свирск	Svirsk
Барабинский  район	Barabinsky_District
Суслонгер	Suslonger
Беченча	Bechencha
Телиги	Teligi,_Russia
Белушья Губа	Belushya_Guba
Тербяс	Terbyas
Маслянинский район	Maslyaninsky_District
Себян-Кюёль	Sebyan-Kyuyol
Ясненский район	Yasnensky_District
Болхов	Bolkhov
Лесное	Lesnoye,_Tver_Oblast
Якокит	Yakokit
Великолукский район	Velikoluksky_District
Владикавказ	Vladikavkaz
Высоцк	Vysotsk
Депутатский	Deputatsky,_Sakha_Republic
Островной	Ostrovnoy,_Murmansk_Oblast
Гудермес	Gudermes
Пинежский район	Pinezhsky_District
Марёво	Maryovo
Андреевский	Andreyevsky,_Sakha_Republic
Изобильный	Izobilny,_Stavropol_Krai
Белоярский район	Beloyarsky_District,_Sverdlovsk_Oblast
Новоусманский район	Novousmansky_District
Вайда-Губа	Vayda-Guba
Подпорожье	Podporozhye,_Leningrad_Oblast
Томмот	Tommot
Серге-Бес	Serge-Bes
Азнакаево	Aznakayevo
Богучаны	Boguchany_(rural_locality)
Витязево	Vityazevo,_Krasnodar_Krai
Тас-Анна	Tas-Anna
Нижний Ломов	Nizhny_Lomov
Прокопьевск	Prokopyevsk
Любань	Lyuban_(town),_Leningrad_Oblast
Железногорск	Zheleznogorsk,_Kursk_Oblast
Выборг	Vyborg
Надвоицы	Nadvoitsy
Камышлов	Kamyshlov
Новая Уда	Novaya_Uda,_Irkutsk_Oblast
Ханты-Мансийск	Khanty-Mansiysk
Исилькуль	Isilkul
Новосиль	Novosil
Рошаль	Roshal_(town)
Вачский район	Vachsky_District
Полевской	Polevskoy
Красноуфимский район	Krasnoufimsky_District
Татищевский район	Tatishchevsky_District
Муромцевский район	Muromtsevsky_District
Нижегородская область	Nizhny_Novgorod_Oblast
Оконешниковский район	Okoneshnikovsky_District
Минусинский район	Minusinsky_District
Заокский район	Zaoksky_District
Черняховский район	Chernyakhovsky_District
Весёловский район	Vesyolovsky_District
Харба-Атах	Kharba-Atakh
Сухоложский район	Sukholozhsky_District
Мурманская область	Murmansk_Oblast
Роман	Roman,_Sakha_Republic
Мяндиги	Myandigi
Слободской район	Slobodskoy_District
Тысагаччы	Tysagachchy
Брянск	Bryansk
Астраханская область	Astrakhan_Oblast
Диксон	Dikson_(urban-type_settlement)
Североморск-3	Severomorsk-3_(rural_locality)
Восход	Voskhod,_Moscow_Oblast
Кушва	Kushva
Дудинка	Dudinka
Редкино	Redkino,_Konakovsky_District,_Tver_Oblast
Сочи	Sochi
Провиденский район	Providensky_District
Сараевский район	Sarayevsky_District
Хатылыма	Khatylyma
Ямальский район	Yamalsky_District
Валдость	Valdost
Мындагай	Myndagai
Чехов	Chekhov,_Moscow_Oblast
Менделеевск	Mendeleyevsk
Тазовский район	Tazovsky_District
Бакчарский район	Bakcharsky_District
Сеймчан	Seymchan_(urban-type_settlement)
Ковылкино	Kovylkino
Вышневолоцкий район	Vyshnevolotsky_District
Сайылык	Sayylyk,_Verkhnevilyuysky_District,_Sakha_Republic
Верхнехавский район	Verkhnekhavsky_District
Западнодвинский район	Zapadnodvinsky_District
Куженкино	Kuzhenkino_(urban-type_settlement)
Оса	Osa,_Perm_Krai
Новый Торъял	Novy_Toryal
Белебей	Belebey
Березовка	Berezovka,_Srednekolymsky_District,_Sakha_Republic
Развилка	Razbilka
Балахтинский район	Balakhtinsky_District
Малая Цильна	Malaya_Tsilna,_Republic_of_Tatarstan
Казачинский район	Kazachinsky_District
Кстово	Kstovo
Шимановск	Shimanovsk
Хангаласский улус	Khangalassky_District
Жуковский район	Zhukovsky_District,_Bryansk_Oblast
Нижнеангарск	Nizhneangarsk
Красавино	Krasavino,_Veliky_Ustyug,_Vologda_Oblast
Снежинск	Snezhinsk
Мглин	Mglin
Бетенкёс	Betenkyos
Королёв	Korolyov,_Moscow_Oblast
Аткарск	Atkarsk
Кичера	Kichera
Увельский район	Uvelsky_District
Шолоховский район	Sholokhovsky_District
Краснооктябрьский	Krasnooktyabrsky,_Mari_El_Republic
Медведево	Medvedevo,_Mari_El_Republic
Курильск	Kurilsk
Темрюк	Temryuk
Красненский район	Krasnensky_District
Тарко-Сале	Tarko-Sale
Туруханский район	Turukhansky_District
Нерюктяйинск 2-й	Neryuktyayinsk_2-y
Жарковский район	Zharkovsky_District
Кремёнки	Kremyonki,_Kaluga_Oblast
Анива	Aniva
Галич	Galich,_Russia
Арбажский район	Arbazhsky_District
Устьянский район	Ustyansky_District
Борский район	Borsky_District,_Samara_Oblast
Рамешковский район	Rameshkovsky_District
Целинный район	Tselinny_District,_Kurgan_Oblast
Салтаны	Saltany
Среднеканский район	Srednekansky_District
Обухово	Obukhovo,_Noginsky_District,_Moscow_Oblast
Хиславичский район	Khislavichsky_District
Гулькевичи	Gulkevichi
Зерноградский район	Zernogradsky_District
Ряжск	Ryazhsk
Тогучин	Toguchin
Рыбинск	Rybinsk
Кемпендяй	Kempendyay
Тюбя	Tyubya
Нововаршавский район	Novovarshavsky_District
Куса	Kusa,_Russia
Ставропольский край	Stavropol_Krai
Химки	Khimki
Окуловка	Okulovka_(town),_Novgorod_Oblast
Калуга	Kaluga
Лопатинский район	Lopatinsky_District
Южно-Сахалинск	Yuzhno-Sakhalinsk
Ртищевский район	Rtishchevsky_District
Городовиковск	Gorodovikovsk
Первомайский район	Pervomaysky_District,_Yaroslavl_Oblast
Болховский район	Bolkhovsky_District
Бакал	Bakal,_Russia
Абан	Aban,_Russia
Айхал	Aykhal
Камышлинский район	Kamyshlinsky_District
Балашовский район	Balashovsky_District
Бомнак	Bomnak
Парфино	Parfino
Камень-на-Оби	Kamen-na-Obi
Большеболдинский район	Bolsheboldinsky_District
Зеленогорск	Zelenogorsk,_Saint_Petersburg
Холуй	Kholuy,_Ivanovo_Oblast
Две виски	Dve_Viski
Ивангород	Ivangorod
Борогонцы	Borogontsy
Чунский район	Chunsky_District
name	city
Волховский район	Volkhovsky_District
Галичский район	Galichsky_District
Бетюнцы	Betyuntsy
Среднеколымский улус	Srednekolymsky_District
Базарно-Карабулакский район	Bazarno-Karabulaksky_District
Мантуровский район	Manturovsky_District,_Kursk_Oblast
Климовский район	Klimovsky_District
Сорочинск	Sorochinsk
Шимановский район	Shimanovsky_District
Арск	Arsk
Краснокаменск	Krasnokamensk,_Zabaykalsky_Krai
Пыщугский район	Pyshchugsky_District
Колпашевский район	Kolpashevsky_District
Псков	Pskov
Иннях	Innyakh
