вильферсдорф	Wilfersdorf
буинск,татарстан	Buinsk,_Republic_of_Tatarstan
богухвала,город	Boguchwała
баццано	Bazzano
артём,город	Artyom,_Russia
витторио-венето	Vittorio_Veneto
болдуин-парк	Baldwin_Park,_California
вила-реал	Vila_Real,_Portugal
вильямоль	Villamol
аренас-де-сан-педро	Arenas_de_San_Pedro
вирле-пьемонте	Virle_Piemonte
альтавилла-монферрато	Altavilla_Monferrato
аллаи	Allai,_Sardinia
буссето	Busseto
бьяндзе	Bianzè
бишофсхофен	Bischofshofen
балькончан	Balconchán
анапа	Anapa
авиньон	Avignon
вольпедо	Volpedo
викторвилл,калифорния	Victorville,_California
арпая	Arpaia
антиполо	Antipolo
бремгартен	Bremgarten,_Aargau
валлетта	Valletta
анк-морпорк	Ankh-Morpork
берсоне	Bersone
баргарх	Bargarh
бузулук	Buzuluk
бахман	Bahman,_Fars
безенцоне	Besenzone
альмонасид-де-ла-куба	Almonacid_de_la_Cuba
бюрегаван	Byureghavan
бизиньяно	Bisignano
бардинето	Bardineto
арбус	Arbus,_Sardinia
вараждин	Varaždin
артёмово	Artemove
виллареджа	Villareggia
алькофен,австрия	Alkoven
ветцикон	Wetzikon
балканабат	Balkanabat
ателла	Atella,_Basilicata
бриджтаун	Bridgetown
вилласимиус	Villasimius
бессемер,алабама	Bessemer,_Alabama
айос-николаос	Agios_Nikolaos,_Crete
вальденго	Valdengo
альбано-верчеллезе	Albano_Vercellese
винница	Vinnytsia
бийск	Biysk
барнум	Barnum,_Minnesota
аррах,индия	Arrah
вилласальто	Villasalto
белый	Bely,_Tver_Oblast
волос,город	Volos
бордальба	Bordalba
боволоне	Bovolone
бытом	Bytom
ашдод	Ashdod
аполлония иллирийская	Apollonia_(Illyria)
барбара	Barbara,_Marche
ванимо	Vanimo
винер-нойдорф	Wiener_Neudorf
блу-эрт	Blue_Earth,_Minnesota
арберг,берн	Aarberg
болано	Bolano
бая-маре	Baia_Mare
атлантик-сити	Atlantic_City,_New_Jersey
америка-ii	América_II,_Tamaulipas
вабальнинкас	Vabalninkas
аргостолион	Argostoli
бедмар-и-гарсиэс	Bedmar_y_Garcíez
ангри	Angri
вернате	Vernate,_Lombardy
балчик	Balchik
венцоне	Venzone
акви-терме	Acqui_Terme
боргофранко-д’ивреа	Borgofranco_d'Ivrea
бендер-ленге	Bandar_Lengeh
агаццано	Agazzano
андовер,город	Andover,_Minnesota
винервальд	Wienerwald,_Austria
валли-дель-пазубио	Valli_del_Pasubio
альдеасека	Aldeaseca
восточная провинция	Eastern_Province,_Sierra_Leone
анока	Anoka,_Minnesota
балтойи-воке	Baltoji_Vokė
вильярехо-де-орбиго	Villarejo_de_Órbigo
вильянуэва-дель-асераль	Villanueva_del_Aceral
бароло	Barolo,_Piedmont
анцухихи	Antsohihy
беруин,иллинойс	Berwyn,_Illinois
борджалло	Borgiallo
амбель	Ambel
бельпассо	Belpasso
вишнупур,город	Bishnupur,_Bankura
вилланова-д’асти	Villanova_d'Asti
буссолено	Bussoleno
бодетт,город	Baudette,_Minnesota
блитар	Blitar
белл-гарденс	Bell_Gardens,_California
боровск	Borovsk
бандунг	Bandung
анкоридж	Anchorage,_Alaska
базалуццо	Basaluzzo
арджелато	Argelato
вулкан,румыния	Vulcan,_Hunedoara
ашкелон	Ashkelon
восточная провинция,сьерра-леоне	Eastern_Province,_Sierra_Leone
байджи	Baiji,_Iraq
базилиано	Basiliano
амман	Amman
блэкфут,город	Blackfoot,_Idaho
бугуруслан	Buguruslan
борегард	Beauregard_Parish,_Louisiana
вальтице	Valtice
виллетта-барреа	Villetta_Barrea
алипур	Alipore
берд-айленд,город	Bird_Island,_Minnesota
брэдбери	Bradbury,_California
вогьера	Voghiera
вильятобас	Villatobas
белланте	Bellante
веццано	Vezzano,_Trentino
аткасук	Atqasuk,_Alaska
вильягонсало-педерналес	Villagonzalo_Pedernales
боржоми	Borjomi
аустис	Austis
вильясур-де-эррерос	Villasur_de_Herreros
волув	Wołów
аннистон,алабама	Anniston,_Alabama
беневелло	Benevello
американ-каньон	American_Canyon,_California
венаус	Venaus
веделаго	Vedelago
аникщяй	Anykščiai
видракко	Vidracco
велес,город	Veles_(city)
бекабад	Bekabad
ауаса	Awasa
баскуньяна	Bascuñana
виджано	Viggiano
вильяфранка-дель-бьерсо	Villafranca_del_Bierzo
ашбах-маркт	Aschbach-Markt
болд-ноб,арканзас	Bald_Knob,_Arkansas
верруа-савоя	Verrua_Savoia
бруклин-парк,город	Brooklyn_Park,_Minnesota
бадарийская культура	Badari_culture
армидейл	Armidale,_New_South_Wales
вендоне	Vendone
виленья	Vileña
вальдидентро	Valdidentro
анкона	Ancona
вайдхофен-ан-дер-ибс	Waidhofen_an_der_Ybbs
бьютт	Butte,_Montana
асино	Asino
бухбах,австрия	Buchbach,_Austria
воббия	Vobbia
баллия	Ballia
вилла-сан-джованни	Villa_San_Giovanni
вайсенкирхен-ан-дер-першлинг	Weißenkirchen_an_der_Perschling
ансфельден	Ansfelden
альморокс	Almorox
вэйнань	Weinan
абдан	Abdan
аннаберг,австрия	Annaberg,_Lower_Austria
айзенхюттенштадт	Eisenhüttenstadt
вакри	Vacri
виллимпента	Villimpenta
ананд,город	Anand,_Gujarat
бонилья-де-ла-сьерра	Bonilla_de_la_Sierra
альбонезе	Albonese
вольтурара-ирпина	Volturara_Irpina
беппу	Beppu,_Ōita
ботани	Botany_Bay
брайтенфурт-бай-вин	Breitenfurt_bei_Wien
волгодонск	Volgodonsk
вильясопеке	Villazopeque
берголо	Bergolo
веста	Vesta,_Minnesota
берово	Berovo
бертуа	Bertoua
владикавказ	Vladikavkaz
валье-де-седано	Valle_de_Sedano
ава,япония	Awa,_Tokushima
брунталь,чехия	Bruntál
вараждинске-топлице	Varaždinske_Toplice
боргорозе	Borgorose
агроландия	Agrolândia
бардо,воеводство	Bardo,_Poland
бершадь	Bershad
вильямартин-де-кампос	Villamartín_de_Campos
бахман,город	Bahman,_Fars
виллафранка-падована	Villafranca_Padovana
алексеевка	Alexeyevka,_Belgorod_Oblast
винасейте	Vinaceite
айл,миннесота	Isle,_Minnesota
бристоль	Bristol
бртнице	Brtnice
афины	Athens
бельмонте-де-кампос	Belmonte_de_Campos
боццоле	Bozzole
аллерона	Allerona
барболес	Bárboles
вертемате-кон-миноприо	Vertemate_con_Minoprio
восточный берлин	East_Berlin
арцакена	Arzachena
авио	Avio,_Trentino
арна,валле-д’аоста	Arnad
бульбуэнте	Bulbuente
анаконда,монтана	Anaconda,_Montana
вильянуэва,гуахира	Villanueva,_La_Guajira
бельмонте-калабро	Belmonte_Calabro
биг-фолс	Big_Falls,_Minnesota
боргоратто-алессандрино	Borgoratto_Alessandrino
альдеа-дель-кано	Aldea_del_Cano
вильянуэва-де-авила	Villanueva_de_Ávila
ворб	Worb
альба,пьемонт	Alba,_Piedmont
вилла-сан-пьетро	Villa_San_Pietro
багио	Baguio
белчестер,город	Bellechester,_Minnesota
альбера-лигуре	Albera_Ligure
вальгрегентино	Valgreghentino
буссеро	Bussero
аркваз	Arakvaz
брионе,провинция тренто	Brione,_Trentino
вальдеморалес	Valdemorales
амфиполис	Amphipolis
аццано-дечимо	Azzano_Decimo
альварес,тамаулипас	Álvarez,_Tamaulipas
балаково	Balakovo
бородино,город	Borodino,_Krasnoyarsk_Krai
аджерола	Agerola
вакаяма	Wakayama,_Wakayama
битунг	Bitung
винкьо	Vinchio
акуто	Acuto
амблер,аляска	Ambler,_Alaska
бальдиссеро-д’альба	Baldissero_d'Alba
алькарасехос	Alcaracejos
врлика	Vrlika
бок,город	Bock,_Minnesota
бюрен	Buren
вудберн	Woodburn,_Oregon
биски,миннесота	Biscay,_Minnesota
баголино	Bagolino
воркута	Vorkuta
бастия-умбра	Bastia_Umbra
бендер-гез	Bandar-e_Gaz
вернамхваст	Varnamkhast
волен	Wohlen,_Aargau
вэньчан	Wenchang
багли,миннесота	Bagley,_Minnesota
антрона-скьеранко	Antrona_Schieranco
айронтон,город	Ironton,_Minnesota
бежунь	Bieżuń
баранцате	Baranzate
вильярродриго	Villarrodrigo
авейру	Aveiro,_Portugal
агридженто	Agrigento
барретт	Barrett,_Minnesota
бычина	Byczyna
берунь	Bieruń
абико	Abiko,_Chiba
агуарон	Aguarón
бистаньо	Bistagno
бонефро	Bonefro
белая холуница	Belaya_Kholunitsa
баликпапан	Balikpapan
валье-де-самансас	Valle_de_Zamanzas
валлада-агордина	Vallada_Agordina
андрия	Andria
брасакорта	Brazacorta
браунтон,миннесота	Brownton,_Minnesota
байконур	Baikonur
альбаредо-арнабольди	Albaredo_Arnaboldi
вильяральто	Villaralto
виллар-пероза	Villar_Perosa
ардебиль	Ardabil
алапаевск	Alapayevsk
алкмар	Alkmaar
брокен-хилл,австралия	Broken_Hill,_New_South_Wales
бибербах,нижняя австрия	Biberbach,_Austria
альдеуэла-де-льестос	Aldehuela_de_Liestos
вознесенск	Voznesensk
вальбуэна-де-писуэрга	Valbuena_de_Pisuerga
бетлехем	Bethlehem,_Pennsylvania
арзамас	Arzamas
берд-айленд	Bird_Island,_Minnesota
бандаберг	Bundaberg
бишофштеттен	Bischofstetten
арроне	Arrone
аччельо	Acceglio
валья,италия	Vaglia
вотупоранга	Votuporanga
вонсан	Wonsan
виньоне	Vignone
бранд-нагельберг	Brand-Nagelberg
боттино	Bottineau,_North_Dakota
биббьена	Bibbiena
белтрами,город	Beltrami,_Minnesota
архонилья	Arjonilla
акаа	Akaa
бангалор	Bangalore
брандиццо	Brandizzo
абовян	Abovyan
алтура,город	Altura,_Minnesota
вильякаррильо	Villacarrillo
вильярдомпардо	Villardompardo
бертельсдорф	Berthelsdorf
варберг	Varberg
вагенинген	Wageningen
валье-де-вальделусио	Valle_de_Valdelucio
верндейл,миннесота	Verndale,_Minnesota
вайшали	Vaishali_(ancient_city)
бринцио	Brinzio
бешикдюзю	Beşikdüzü
алькабон	Alcabón
брукк-ан-дер-лайта	Bruck_an_der_Leitha
вильярроя-дель-кампо	Villarroya_del_Campo
вашингтон-на-бразосе	Washington-on-the-Brazos,_Texas
антсла	Antsla
брента,город	Brenta,_Lombardy
бели-манастир	Beli_Manastir
батала	Batala
верхнеуральск	Verkhneuralsk
вернал,юта	Vernal,_Utah
бляховня	Blachownia
вильянуэва-де-кордова	Villanueva_de_Córdoba
бжеско	Brzesko
биольо	Bioglio
альбано-ди-лукания	Albano_di_Lucania
вальехо,калифорния	Vallejo,_California
вергас	Vergas,_Minnesota
асо,город	Aso,_Kumamoto
аланхе	Alange
бэйпяо	Beipiao
браунсдейл	Brownsdale,_Minnesota
бардже	Barge,_Piedmont
агон,сарагоса	Agón
банияс,израиль	Banias
батрун	Batroun
бачено	Baceno
брея	Breia
алпайн	Alpine,_Texas
выжиск	Wyrzysk
барри,город	Barry,_Minnesota
ашленд,огайо	Ashland,_Ohio
будё	Bodø
богор	Bogor
ардешен	Ardeşen
аммон	Ammon,_Idaho
бальса-де-вес	Balsa_de_Ves
барсена-де-кампос	Bárcena_de_Campos
бонассола	Bonassola
бьюкенен	Buchanan,_Michigan
валлио-терме	Vallio_Terme
бжег	Brzeg
болькув	Bolków
аквавива-д’изерния	Acquaviva_d'Isernia
вила-ду-конди	Vila_do_Conde
болотное	Bolotnoye
вальденбург,базель-ланд	Waldenburg,_Switzerland
аттильяно	Attigliano
вильяконансио	Villaconancio
вуд-лейк,миннесота	Wood_Lake,_Minnesota
боффалора-сопра-тичино	Boffalora_sopra_Ticino
аббиатеграссо	Abbiategrasso
анвик,аляска	Anvik,_Alaska
варесе	Varese
вильхеринг	Wilhering
актау	Aktau
винклерн	Winklern
буббьяно	Bubbiano
бромберг,австрия	Bromberg,_Lower_Austria
великий устюг	Veliky_Ustyug
альфахарин	Alfajarín
вали-ди-камбра	Vale_de_Cambra
вилла-ди-кьявенна	Villa_di_Chiavenna
ваднес-хайтс,миннесота	Vadnais_Heights,_Minnesota
арцана	Arzana
бургауберг-нойдауберг	Burgauberg-Neudauberg
атрани	Atrani
асти	Asti
бруклин-сентер,миннесота	Brooklyn_Center,_Minnesota
аркот	Arcot,_Vellore
виново	Vinovo
вейи	Veii
бонито	Bonito,_Campania
вольногорск	Vilnohirsk
антофагаста	Antofagasta
баньюэлос-де-буреба	Bañuelos_de_Bureba
витково	Witkowo
ашшур,город	Assur
валло-торинезе	Vallo_Torinese
венетико	Venetico
вёльблинг	Wölbling
виллард,город	Villard,_Minnesota
вилла-кастелли	Villa_Castelli
бока	Boca,_Novara
бургоондо	Burgohondo
айванхо	Ivanhoe,_Minnesota
авока,миннесота	Avoca,_Minnesota
валье-де-эчо	Valle_de_Hecho
вильегас	Villegas
билокси	Biloxi,_Mississippi
богуслав,город	Bohuslav
амагасаки	Amagasaki
вишнёвое,город	Vyshneve
аттимис	Attimis
арциз	Artsyz
бродница,воеводство	Brodnica
виллафранка-ин-луниджана	Villafranca_in_Lunigiana
ваттенс	Wattens
айсанти	Isanti,_Minnesota
биг-фолс,город	Big_Falls,_Minnesota
альбета	Albeta
альборхе	Alborge
вентура,калифорния	Ventura,_California
бопфинген	Bopfingen
банска-штьявница	Banská_Štiavnica
альбуньюэлас	Albuñuelas
боргомаро	Borgomaro
бенавидес	Benavides,_León
акбарпур	Akbarpur,_Ambedkar_Nagar
арика	Arica
вальдеррей	Valderrey
альтендорф,нижняя австрия	Altendorf,_Austria
аривунимаму	Arivonimamo
больтанья	Boltaña
буччино	Buccino
берчвуд-виллидж	Birchwood_Village,_Minnesota
вислуни	Výsluní
березники	Berezniki
бытув	Bytów
бормида	Bormida,_Liguria
брандон	Brandon,_Minnesota
бриатико	Briatico
вильяда	Villada
вевак	Wewak
арида,город	Arida,_Wakayama
афрагола	Afragola
бендер-риг	Bandar_Rig
барбадильо-дель-пес	Barbadillo_del_Pez
влёра	Vlorë
алор-сетар	Alor_Setar
бризигелла	Brisighella
биллунн	Billund,_Denmark
вигазьо	Vigasio
асадабад,хамадан	Asadabad,_Iran
боулус,миннесота	Bowlus,_Minnesota
брейнерд	Brainerd,_Minnesota
альбиано	Albiano
бромон	Bromont,_Quebec
виллаваллелонга	Villavallelonga
вустер,массачусетс	Worcester,_Massachusetts
вильяно-бьеллезе	Vigliano_Biellese
блейн	Blaine,_Minnesota
андапа	Andapa
берта,город	Bertha,_Minnesota
аккуаланья	Acqualagna
бандера,техас	Bandera,_Texas
винден-ам-зе	Winden_am_See
амавида	Amavida
альфос-де-брисия	Alfoz_de_Bricia
вайнбург	Weinburg
бова	Bova,_Calabria
вольфсталь	Wolfsthal
амеюго	Ameyugo
верво	Vervò
витория-гастейс	Vitoria-Gasteiz
веруно	Veruno
алчевск	Alchevsk
ваднес-хайтс,город	Vadnais_Heights,_Minnesota
боббио,италия	Bobbio
алхамбра,калифорния	Alhambra,_California
абфальтерсбах,тироль	Abfaltersbach
аламогордо	Alamogordo,_New_Mexico
абсдорф	Absdorf
вальверде-энрике	Valverde-Enrique
айяс,италия	Ayas,_Aosta_Valley
вильяморонта	Villamoronta
вернио	Vernio
барановка,город	Baranivka_(city)
вальюэрканес	Valluércanes
белвидир,иллинойс	Belvidere,_Illinois
болохово	Bolokhovo
бодайбо,город	Bodaybo
винковцы	Vinkovci
агаджари	Aghajari
бондо	Bondo,_Trentino
бибербах	Biberbach,_Austria
бейнетте	Beinette
вудленд	Woodland,_Minnesota
антильон	Antillón
вергас,миннесота	Vergas,_Minnesota
бови,город	Bovey,_Minnesota
аулетта,кампания	Auletta
воскопоя	Moscopole
вильярреаль-де-уэрва	Villarreal_de_Huerva
вулвертон,город	Wolverton,_Minnesota
бенна	Benna,_Piedmont
аньцин	Anqing
витница	Witnica
вилладоссола	Villadossola
артенья	Artegna
адрада-де-аса	Adrada_de_Haza
брони	Broni
валлепьетра	Vallepietra
анока,миннесота	Anoka,_Minnesota
валки	Valky
ватра	Vatra,_Moldova
богданович,город	Bogdanovich_(town)
виганелла	Viganella
во	Vò
бунгооно	Bungo-ōno,_Ōita
боскореале	Boscoreale
вальфаббрика	Valfabbrica
вайдор,техас	Vidor,_Texas
альфантега	Alfántega
блайбург	Bleiburg
брок	Brok
валле-салимбене	Valle_Salimbene
вайтен,австрия	Weiten
алекнагик,аляска	Aleknagik,_Alaska
бисмарк	Bismarck,_North_Dakota
брахам	Braham,_Minnesota
валье-дель-ретортильо	Valle_del_Retortillo
апсала,город	Upsala,_Minnesota
вильхельмсбург,австрия	Wilhelmsburg,_Austria
белл,калифорния	Bell,_California
брунталь	Bruntál
блевио	Blevio
березань,город	Berezan
валмиера	Valmiera
бжостек,город	Brzostek
бакман,город	Buckman,_Minnesota
алобрас	Alobras
альтавилла-вичентина	Altavilla_Vicentina
бузалла	Busalla
версаль	Versailles,_Missouri
акаси	Akashi,_Hyōgo
вильяр-де-рена	Villar_de_Rena
безенелло	Besenello
волос	Volos
валенсия-де-лас-торрес	Valencia_de_las_Torres
вальо-базиликата	Vaglio_Basilicata
бетел-хайтс	Bethel_Heights,_Arkansas
боннерс-ферри,айдахо	Bonners_Ferry,_Idaho
виллупурам	Viluppuram
боровичи	Borovichi
американ-форк	American_Fork,_Utah
бьянцоне	Bianzone
вильяно-д’асти	Vigliano_d'Asti
баланджеро	Balangero
аспен,колорадо	Aspen,_Colorado
вельо	Veglio
беллино	Bellino
аш-флэт	Ash_Flat,_Arkansas
бейт-джала	Beit_Jala
визеу	Viseu
брисбен	Brisbane
альтдорф	Altdorf,_Switzerland
бржезнице	Březnice_(Příbram_District)
виктория-де-дуранго	Durango,_Durango
бирштонас	Birštonas
баньоло-ин-пьяно	Bagnolo_in_Piano
басра	Basra
берберана	Berberana
бардсир	Bardsir
борисполь	Boryspil
абботсфорд	Abbotsford,_British_Columbia
боулдер,колорадо	Boulder,_Colorado
брегуццо	Breguzzo
амбилубе	Ambilobe
вилкавишкис	Vilkaviškis
абовян,город	Abovyan
вега-де-валькарсе	Vega_de_Valcarce
апетлон	Apetlon
вишши-брод	Vyšší_Brod
берджеджи	Bergeggi
вальверде-де-ла-вера	Valverde_de_la_Vera
бад-дойч-альтенбург	Bad_Deutsch-Altenburg
буонвичино	Buonvicino
бедиццоле	Bedizzole
албуфейра	Albufeira
байкальск	Baykalsk
адулис	Adulis
абидос	Abydos,_Egypt
вила-родона	Vila-rodona
артёмовка,полтавская область	Artemivka
березань	Berezan
ахмадабад	Ahmedabad
альманса	Almanza
виковаро	Vicovaro
аттапы,город	Attapeu
белгород	Belgorod
вордингборг	Vordingborg
волочиск	Volochysk
виснар	Víznar
вианден	Vianden
андовер,миннесота	Andover,_Minnesota
вильякехида	Villaquejida
броктон	Brockton,_Massachusetts
беллинцаго-новарезе	Bellinzago_Novarese
бад-ишль	Bad_Ischl
вильяселан	Villaselán
биник	Binic
вольфсбах,нижняя австрия	Wolfsbach
арколе	Arcole
аскреа	Ascrea
бельмонте-де-грасьян	Belmonte_de_Gracián
браньосера	Brañosera
андали	Andali
алба-юлия	Alba_Iulia
биг-лейк	Big_Lake,_Minnesota
архес	Argés
аурангабад	Aurangabad,_Maharashtra
белоярский	Beloyarsky,_Khanty-Mansi_Autonomous_Okrug
бассано-ин-теверина	Bassano_in_Teverina
блафтон	Bluffton,_Minnesota
аламида	Alameda,_California
альта-виста	Alta_Vista,_Ottawa
белжице	Bełżyce
вельки-шариш	Veľký_Šariš
вальгризанш	Valgrisenche
атланта	Atlanta
альтомонте	Altomonte
вальторрес	Valtorres
валенсия-де-дон-хуан	Valencia_de_Don_Juan
версаль,миссури	Versailles,_Missouri
веронелла	Veronella
веллеццо-беллини	Vellezzo_Bellini
бхубанешвар	Bhubaneswar
виллемстад	Willemstad
ваднес-хайтс	Vadnais_Heights,_Minnesota
алессандрия-дель-карретто	Alessandria_del_Carretto
альто	Alto,_Piedmont
боннанаро	Bonnanaro
балесар	Balesar
бигелоу,миннесота	Bigelow,_Minnesota
антрацит	Antratsyt
бониту	Bonito,_Mato_Grosso_do_Sul
апшеронск	Apsheronsk
брум	Broome,_Western_Australia
восход,московская область	Voskhod,_Moscow_Oblast
боскотреказе	Boscotrecase
возники	Woźniki
бановичи,город	Banovići
айова-сити,айова	Iowa_City,_Iowa
бобова,город	Bobowa
бенсон,миннесота	Benson,_Minnesota
буджерру	Buggerru
вальда	Valda
берд-айленд,миннесота	Bird_Island,_Minnesota
альтштеттен	Altstätten
берсосилья	Berzosilla
багешвар	Bageshwar
альтиволе	Altivole
вельск	Velsk
айл,город	Isle,_Minnesota
аксай,область	Aksay,_Rostov_Oblast
абаде-ташк	Abadeh_Tashk
бой-ривер,миннесота	Boy_River,_Minnesota
виллар-пелличе	Villar_Pellice
вильяр-де-лос-наваррос	Villar_de_los_Navarros
биг-тимбер	Big_Timber,_Montana
бельведере-ди-спинелло	Belvedere_di_Spinello
башт	Basht
берг,нижняя австрия	Berg,_Lower_Austria
абфальтерсбах	Abfaltersbach
блейн,миннесота	Blaine,_Minnesota
балашшадьярмат	Balassagyarmat
аламида,калифорния	Alameda,_California
арцано	Arzano
авадзи,город	Awaji,_Hyōgo
аннандейл	Annandale,_Minnesota
америка,тамаулипас	América,_Tamaulipas
вайц	Weiz
вивероне	Viverone
бургильос-дель-серро	Burguillos_del_Cerro
больцано-новарезе	Bolzano_Novarese
вщиж	Vshchizh
бьюл,город	Buhl,_Minnesota
борба	Borba,_Portugal
баньос-де-монтемайор	Baños_de_Montemayor
бенгази	Benghazi
вамберк	Vamberk
вильядос	Villadoz
бьенно	Bienno
бафусам	Bafoussam
варано-борги	Varano_Borghi
варко-сабино	Varco_Sabino
бьянки	Bianchi,_Calabria
атека	Ateca
ардезьо	Ardesio
аркология	Arcology
бхимтал	Bhimtal
вичуга	Vichuga
буттильера-д’асти	Buttigliera_d'Asti
вальфлориана	Valfloriana
виллендорф	Willendorf
бодрум	Bodrum
вальдеорна	Valdehorna
вилламассарджа	Villamassargia
вилланова-монтелеоне	Villanova_Monteleone
айова-сити	Iowa_City,_Iowa
баучи	Bauchi
валле-ди-кадоре	Valle_di_Cadore
ардженьо	Argegno
абу-салабих	Abu_Salabikh
бурон,леон	Burón
арария	Araria
бжесць-куявский	Brześć_Kujawski
бельвис-де-ла-хара	Belvís_de_la_Jara
белореченск	Belorechensk,_Krasnodar_Krai
аллентаун	Allentown,_Pennsylvania
бурета	Bureta
ардаль	Ardal
апиа	Apia
аппиньяно	Appignano
бейпорт,город	Bayport,_Minnesota
бальтанас	Baltanás
вайнинг	Vining,_Minnesota
барнсвилл	Barnesville,_Minnesota
вайнинг,город	Vining,_Minnesota
брокен-хилл	Broken_Hill,_New_South_Wales
вудсток,город	Woodstock,_Minnesota
валуйки	Valuyki,_Belgorod_Oblast
вильякиламбре	Villaquilambre
вальсаваранш	Valsavarenche
баньо-а-риполи	Bagno_a_Ripoli
алиано	Aliano
брайтенштайн	Breitenstein,_Lower_Austria
аннополь,город	Annopol
беневенто	Benevento
альтидона	Altidona
бад-цурцах	Bad_Zurzach
бусто-гарольфо	Busto_Garolfo
брено	Breno
бареджо	Bareggio
виллантерио	Villanterio
аурайя	Auraiya
берни,тасмания	Burnie,_Tasmania
алварейдо	Alvarado,_Minnesota
бук,познанский повят	Buk
величка	Wieliczka
балад	Balad,_Iraq
абусир	Abusir
бока-ратон	Boca_Raton,_Florida
аррапха	Arrapha
атри,город	Atri,_Abruzzo
брад	Brad,_Hunedoara
абузейдабад	Abuzeydabad
вильянуэва	Villanueva,_La_Guajira
берцано-ди-сан-пьетро	Berzano_di_San_Pietro
вилла-сантина	Villa_Santina
виверо	Viveiro
валор	Válor
барретт,город	Barrett,_Minnesota
веркана	Vercana
виго-ди-кадоре	Vigo_di_Cadore
барнсвилл,миннесота	Barnesville,_Minnesota
балашов	Balashov_(town)
вегакемада	Vegaquemada
белозерск	Belozersk
арцергранде	Arzergrande
белчестер,миннесота	Bellechester,_Minnesota
велилья-де-хилока	Velilla_de_Jiloca
вуллонгонг	Wollongong
бризи-пойнт	Breezy_Point,_Minnesota
бехар,хамадан	Bahar,_Iran
веццано-лигуре	Vezzano_Ligure
бюль,фрибур	Bulle
боволента	Bovolenta
вигоне	Vigone
барумини	Barumini
вайнбург,австрия	Weinburg
богоньо	Bogogno
альмодовар-дель-кампо	Almodóvar_del_Campo
арки	Archi,_Abruzzo
айдомаджоре	Aidomaggiore
адауэска	Adahuesca
банбери,австралия	Bunbury,_Western_Australia
берта	Bertha,_Minnesota
вюрфлах	Würflach
бялобжеги	Białobrzegi
виола,город	Viola,_Piedmont
бад-мускау	Bad_Muskau
бриндизи-монтанья	Brindisi_Montagna
аргусто	Argusto
арконате	Arconate
аксай	Aksay,_Rostov_Oblast
айл	Isle,_Minnesota
баресса	Baressa
бостан	Bostan,_Iran
бриссонь	Brissogne
белосток	Białystok
блоне,польша	Błonie
берта,миннесота	Bertha,_Minnesota
бенатки-над-йизероу	Benátky_nad_Jizerou
барлинг	Barling,_Arkansas
вилланова-трускеду	Villanova_Truschedu
бюлах	Bülach
бейджесултан	Beycesultan
брест	Brest,_France
альмендраль	Almendral
бока,город	Boca,_Novara
баоцзи	Baoji
визоне	Visone
барселуш	Barcelos,_Portugal
баранув-сандомерский	Baranów_Sandomierski
адыяман	Adıyaman
авелла	Avella
брустер,миннесота	Brewster,_Minnesota
базельга-ди-пине	Baselga_di_Pinè
абинск	Abinsk
аджмер	Ajmer
авельяноса-де-муньо	Avellanosa_de_Muñó
вильямуэлас	Villamuelas
вайден-ан-дер-марх	Weiden_an_der_March
асо	Aso,_Kumamoto
бологое	Bologoye
вилла-сант-антонио	Villa_Sant'Antonio
будони	Budoni
бенд,орегон	Bend,_Oregon
альбукерке	Albuquerque,_New_Mexico
бари-сардо	Bari_Sardo
бака-джат	Baqa-Jatt
билгорай	Biłgoraj
апсала	Upsala,_Minnesota
антананариву	Antananarivo
бьюкенен,мичиган	Buchanan,_Michigan
визен,бургенланд	Wiesen,_Austria
арбург	Aarburg
афьон-карахисар	Afyonkarahisar
бастилья	Bastiglia
вико-канавезе	Vico_Canavese
витикузо	Viticuso
брокен-боу,небраска	Broken_Bow,_Nebraska
ашим	Askim
атуотер	Atwater,_Minnesota
альтенбург,австрия	Altenburg,_Lower_Austria
ванг,нижняя австрия	Wang,_Austria
бойсе,город	Boise,_Idaho
батталья-терме	Battaglia_Terme
боски-сант-анна	Boschi_Sant'Anna
белджойозо	Belgioioso,_Lombardy
брудзоло	Bruzolo
беас-де-гранада	Beas_de_Granada
алексеевка,белгородская область	Alexeyevka,_Belgorod_Oblast
ахтала	Akhtala
белтрами	Beltrami,_Minnesota
баальбек	Baalbek
баджер	Badger,_Minnesota
варамин	Varamin
бровелло-карпуньино	Brovello-Carpugnino
андрано	Andrano
бранево	Braniewo
буин-и-миандешт	Buin_va_Miandasht
бойковице	Bojkovice
брвинув	Brwinów
вольск	Volsk
аллакакет,аляска	Allakaket,_Alaska
вилланова-маркезана	Villanova_Marchesana
богатыня	Bogatynia
альяно-терме	Agliano_Terme
валлермоза	Vallermosa
винкларн,нижняя австрия	Winklarn,_Austria
вольсинии	Volsinii
алькуэскар	Alcuéscar
алькампель	Alcampell
ако,город	Akō,_Hyōgo
баргас	Bargas
бендер-торкеман	Bandar_Torkaman
вольфсбах,австрия	Wolfsbach
алексеевка,город	Alexeyevka,_Belgorod_Oblast
бульдаджи	Boldaji
боональ-де-ибор	Bohonal_de_Ibor
блуденц	Bludenz
бразилиа	Brasília
аркильос	Arquillos
бивер-крик	Beaver_Creek,_Minnesota
астипалея	Astypalaia
боргофорте	Borgoforte
бехамберг	Behamberg
вазанелло	Vasanello
брахам,миннесота	Braham,_Minnesota
витория-ду-жари	Vitória_do_Jari
вилланова-монферрато	Villanova_Monferrato
бертрум,город	Burtrum,_Minnesota
